distid,schoolid_stateassigned,distname,schoolname,enroll_raw_TX,pp_stloc_raw_TX
20901,20901101,ALVIN ISD,ALVIN EL,497,9647.733827
20901,20901001,ALVIN ISD,ALVIN H S,2690,10280.17563
20901,20901041,ALVIN ISD,ALVIN J H,907,9054.3875
20901,20901102,ALVIN ISD,ALVIN PRI,566,9510.369244
20901,20901005,ALVIN ISD,ASSETS,116,20843.70646
20901,20901120,ALVIN ISD,BEL NAFEGAR SANCHEZ EL,NRD,NRD
20901,20901104,ALVIN ISD,BILL HASSE EL,762,8331.537436
20901,20901119,ALVIN ISD,BOB AND BETTY NELSON EL,NRD,NRD
20901,20901004,ALVIN ISD,BRAZORIA CO J J A E P,NRD,NRD
20901,20901110,ALVIN ISD,DON JETER EL,882,8229.319052
20901,20901048,ALVIN ISD,DR RONALD E MCNAIR JH,999,7948.398234
20901,20901105,ALVIN ISD,E C MASON EL,666,9705.351687
20901,20901046,ALVIN ISD,FAIRVIEW J H,732,10180.14762
20901,20901043,ALVIN ISD,G W HARBY J H,769,9606.432903
20901,20901114,ALVIN ISD,GLENN YORK EL,898,8036.974523
20901,20901109,ALVIN ISD,HOOD-CASE EL,640,9749.04638
20901,20901112,ALVIN ISD,LAURA INGALLS WILDER,852,8256.800393
20901,20901002,ALVIN ISD,MANVEL H S,1784,11385.75754
20901,20901047,ALVIN ISD,MANVEL J H,910,8504.537263
20901,20901103,ALVIN ISD,MARK TWAIN EL,832,8691.515972
20901,20901111,ALVIN ISD,MARY BURKS MAREK EL,707,8555.002827
20901,20901108,ALVIN ISD,MELBA PASSMORE EL,699,9365.915794
20901,20901116,ALVIN ISD,MERIDIANA EL,797,7679.862493
20901,20901121,ALVIN ISD,NEW EL #121,NRD,NRD
20901,20901122,ALVIN ISD,NEW EL #122,NRD,NRD
20901,20901007,ALVIN ISD,NEW H S,NRD,NRD
20901,20901049,ALVIN ISD,NEW J H,NRD,NRD
20901,20901045,ALVIN ISD,NOLAN RYAN J H,781,9372.355557
20901,20901118,ALVIN ISD,POMONA EL,577,9431.210221
20901,20901106,ALVIN ISD,R L STEVENSON PRI,544,9210.3757
20901,20901115,ALVIN ISD,RED DUKE EL,548,9413.695821
20901,20901042,ALVIN ISD,RODEO PALMS J H,815,9234.268821
20901,20901113,ALVIN ISD,SAVANNAH LAKES EL,802,8672.914986
20901,20901006,ALVIN ISD,SHADOW CREEK H S,2566,8721.941788
20901,20901117,ALVIN ISD,SHIRLEY DILL BROTHERS EL,882,7666.960776
20901,20901107,ALVIN ISD,WALT DISNEY EL,508,9416.187042
249901,249901101,ALVORD ISD,ALVORD EL,343,8757.169687
249901,249901001,ALVORD ISD,ALVORD H S,211,11959.91122
249901,249901041,ALVORD ISD,ALVORD MIDDLE,171,10118.97971
188901,188901003,AMARILLO ISD,AMARILLO AREA CTR FOR ADVANCED LRN,13,211913.6232
188901,188901001,AMARILLO ISD,AMARILLO H S,2090,8228.776312
188901,188901041,AMARILLO ISD,AUSTIN MIDDLE,793,7076.154097
188901,188901101,AMARILLO ISD,AVONDALE EL,582,6537.344851
188901,188901102,AMARILLO ISD,BELMAR EL,371,8446.345574
188901,188901103,AMARILLO ISD,BIVINS EL,501,7159.459529
188901,188901048,AMARILLO ISD,BONHAM MIDDLE,861,7036.301483
188901,188901052,AMARILLO ISD,BOWIE 6TH GRADE CAMPUS,397,7079.839826
188901,188901042,AMARILLO ISD,BOWIE MIDDLE,783,7688.468668
188901,188901002,AMARILLO ISD,CAPROCK H S,2074,7770.329084
