CEID,distname,SiteID,schoolname,distid,CECounty,SiteCounty,SiteISP
90,NORTHSIDE ISD-SAN ANTONIO,122,J B PASSMORE EL,15915,BEXAR,BEXAR,74.47
90,NORTHSIDE ISD-SAN ANTONIO,149,WILLIAM THORNTON EL,15915,BEXAR,BEXAR,27.8
90,NORTHSIDE ISD-SAN ANTONIO,130,WINN MURNIN EL,15915,BEXAR,BEXAR,37.32
90,NORTHSIDE ISD-SAN ANTONIO,41,NEFF MIDDLE,15915,BEXAR,BEXAR,52.4
90,NORTHSIDE ISD-SAN ANTONIO,170,NICHOLS EL,15915,BEXAR,BEXAR,23.53
90,NORTHSIDE ISD-SAN ANTONIO,1,HOLMES H S,15915,BEXAR,BEXAR,44.44
90,NORTHSIDE ISD-SAN ANTONIO,180,BEARD ELEMENTARY,15915,BEXAR,BEXAR,5.7
90,NORTHSIDE ISD-SAN ANTONIO,225,EDMUND LIECK ELEM,15915,BEXAR,BEXAR,19.97
90,NORTHSIDE ISD-SAN ANTONIO,103,GLENOAKS EL,15915,BEXAR,BEXAR,56.03
90,NORTHSIDE ISD-SAN ANTONIO,16,SANDRA DAY O'CONNOR H S,15915,BEXAR,BEXAR,12.18
90,NORTHSIDE ISD-SAN ANTONIO,227,HERBERT G. BOLDT ELEMENTARY,15915,BEXAR,BEXAR,11.65
90,NORTHSIDE ISD-SAN ANTONIO,191,KUENTZ ES,15915,BEXAR,BEXAR,10.5
90,NORTHSIDE ISD-SAN ANTONIO,145,JIMMY ELROD EL,15915,BEXAR,BEXAR,33.12
90,NORTHSIDE ISD-SAN ANTONIO,4,HOLMGREEN JR-SR H S,15915,BEXAR,BEXAR,20
90,NORTHSIDE ISD-SAN ANTONIO,160,VIRGINIA A MYERS EL,15915,BEXAR,BEXAR,39.22
90,NORTHSIDE ISD-SAN ANTONIO,112,LAWRENCE POWELL EL,15915,BEXAR,BEXAR,54.27
90,NORTHSIDE ISD-SAN ANTONIO,25,HARLAN HS,15915,BEXAR,BEXAR,15.4
90,NORTHSIDE ISD-SAN ANTONIO,54,LUNA MIDDLE SCHOOL,15915,BEXAR,BEXAR,20.64
90,NORTHSIDE ISD-SAN ANTONIO,11,NISD EXCEL ACADEMY,15915,BEXAR,BEXAR,28.57
90,NORTHSIDE ISD-SAN ANTONIO,44,ANSON JONES MIDDLE,15915,BEXAR,BEXAR,67.7
90,NORTHSIDE ISD-SAN ANTONIO,186,KREUGER ELEMENTARY SCHOOL,15915,BEXAR,BEXAR,13.03
90,NORTHSIDE ISD-SAN ANTONIO,49,ZACHRY MIDDLE,15915,BEXAR,BEXAR,39.81
90,NORTHSIDE ISD-SAN ANTONIO,138,LLOYD KNOWLTON EL,15915,BEXAR,BEXAR,50.82
90,NORTHSIDE ISD-SAN ANTONIO,166,BURKE EL,15915,BEXAR,BEXAR,47.7
90,NORTHSIDE ISD-SAN ANTONIO,59,DR. JOHN FOLKS,15915,BEXAR,BEXAR,11.81
90,NORTHSIDE ISD-SAN ANTONIO,181,BLATTMAN ELEMENTARY,15915,BEXAR,BEXAR,6.73
90,NORTHSIDE ISD-SAN ANTONIO,8,NORTHSIDE ALTER SCH,15915,BEXAR,BEXAR,49.74
