,distid_nerds,schoolid_stateassigned,distname_nerds,schoolname_nerds,enroll_raw_TX,pp_stloc_raw_TX,CEID,distname_ed,SiteID,schoolname_ed,distid_ed,CECounty,SiteCounty,SiteISP,school_id
118,15913.0,15913001,LACKLAND ISD,VIRGINIA ALLRED STACEY JR/SR H S,407,14464.65866,88,LACKLAND ISD,1,VIRGINIA ALLRED STACEY JR/SR H S,15913,BEXAR,BEXAR,0.77,15913001
119,15913.0,15913101,LACKLAND ISD,LACKLAND EL,664,12724.94113,88,LACKLAND ISD,101,LACKLAND EL,15913,BEXAR,BEXAR,2.34,15913101
120,163908.0,163908106,MEDINA VALLEY ISD,LUCKEY RANCH EL,726,6994.150511,804,MEDINA VALLEY ISD,106,LUCKEY RANCH EL,163908,MEDINA,BEXAR,,163908106
121,163908.0,163908042,MEDINA VALLEY ISD,MEDINA VALLEY MIDDLE,609,8502.876759,804,MEDINA VALLEY ISD,42,MEDINA VALLEY MIDDLE SCHOOL,163908,MEDINA,MEDINA,38.84,163908042
122,163908.0,163908043,MEDINA VALLEY ISD,MEDINA VALLEY LOMA ALTA MIDDLE,692,8052.750453,804,MEDINA VALLEY ISD,43,MEDINA VALLEY LOMA ALTA MIDDLE,163908,MEDINA,MEDINA,,163908043
123,163908.0,163908105,MEDINA VALLEY ISD,POTRANCO EL,692,7127.088603,804,MEDINA VALLEY ISD,105,POTRANCO ELEMENTARY,163908,MEDINA,MEDINA,35.45,163908105
124,163908.0,163908103,MEDINA VALLEY ISD,CASTROVILLE EL,627,7318.072869,804,MEDINA VALLEY ISD,103,CASTROVILLE EL,163908,MEDINA,MEDINA,51.33,163908103
125,163908.0,163908104,MEDINA VALLEY ISD,LACOSTE EL,527,8648.344104,804,MEDINA VALLEY ISD,104,LACOSTE EL,163908,MEDINA,MEDINA,54.38,163908104
126,,,,,,,804,MEDINA VALLEY ISD,109,LUCKEY RANCH ELEMENTARY,163908,MEDINA,BEXAR,,163908109
127,163908.0,163908001,MEDINA VALLEY ISD,MEDINA VALLEY H S,1550,8359.12862,804,MEDINA VALLEY ISD,1,MEDINA VALLEY H S,163908,MEDINA,MEDINA,37.22,163908001
128,15910.0,15910056,NORTH EAST ISD,TEJEDA MIDDLE,1184,6901.33292,85,NORTH EAST ISD,56,FRANK TEJEDA MIDDLE SCHOOL,15910,BEXAR,BEXAR,12.15,15910056
129,15910.0,15910135,NORTH EAST ISD,HUEBNER EL,670,8342.664137,85,NORTH EAST ISD,135,HUEBNER ROAD EL,15910,BEXAR,BEXAR,17.48,15910135
130,15910.0,15910102,NORTH EAST ISD,COKER EL,858,7748.203632,85,NORTH EAST ISD,102,COKER EL,15910,BEXAR,BEXAR,29.5,15910102
131,15910.0,15910045,NORTH EAST ISD,JACKSON MIDDLE,722,10537.22792,85,NORTH EAST ISD,45,JACKSON MIDDLE,15910,BEXAR,BEXAR,48.56,15910045
132,15910.0,15910112,NORTH EAST ISD,RIDGEVIEW EL,596,8643.436595,85,NORTH EAST ISD,112,RIDGEVIEW EL,15910,BEXAR,BEXAR,65.75,15910112
133,15910.0,15910129,NORTH EAST ISD,ENCINO PARK EL,650,8032.462094,85,NORTH EAST ISD,129,ENCINO PARK EL,15910,BEXAR,BEXAR,12.46,15910129
134,15910.0,15910004,NORTH EAST ISD,ROOSEVELT H S,2774,9065.337513,85,NORTH EAST ISD,4,ROOSEVELT H S,15910,BEXAR,BEXAR,43.21,15910004
135,15910.0,15910117,NORTH EAST ISD,WINDCREST EL,614,8258.655148,85,NORTH EAST ISD,117,WINDCREST EL,15910,BEXAR,BEXAR,53.37,15910117
136,15910.0,15910145,NORTH EAST ISD,CIBOLO GREEN,910,7481.884951,85,NORTH EAST ISD,145,CIBOLO GREEN ELEMENTARY,15910,BEXAR,BEXAR,11.24,15910145
